question,answer,review number,name,gender,location,overseas_place,overseas_time,domestic_place,domestic_time,overseas_number,domestic_number,,,
0,43,83,雪山伊莲(北京),MGenderFemale,北京,,[],"香港, 九寨沟, 靖西, 台南, 台北, 禾木, 广州, 绥中, 青海湖, 花莲, 淡水, 垦丁, 塔城, 丽江, 北京","['2018.05', '2010.09', '2014.06', '2018.05', '2016.01', '2014.05', '2015.02', '2016.01', '2015.02', '2016.03', '2016.03', '2016.03', '2018.05', '2015.02', '2010.11']",0,15,,,
2,265,26,糖记录(北京),MGenderMale,北京,,[],"乌镇, 澳门, 布尔津, 香港, 杭州, 西安, 西塘, 上海, 九江, 平遥, 大理, 华山, 天津, 禾木, 丽江, 曲阜, 西宁, 昆明, 蓬莱, 乌鲁木齐","['2015.07', '2015.07', '2015.07', '2015.07', '2015.07', '2015.07', '2015.07', '2015.07', '2015.07', '2015.07', '2015.07', '2015.07', '2015.07', '2015.07', '2015.07', '2015.07', '2015.07', '2015.07', '2015.07', '2015.07']",0,20,,,
0,142,7,吉拉朵 文h(北京),MGenderFemale,北京,,[],"西安, 北京","['2018.08', '2018.10']",0,2,,,
0,4,50,小蚂(北京),,北京,Philippines',['2011.08'],"北京, 香港, 上海, 天津, 乌镇, 厦门, 大理, 苏州, 青岛","['2013.02', '2011.05', '2011.04', '2011.05', '2011.05', '2011.04', '2011.05', '2011.05', '2011.05']",1,9,,,
1,19,1,爱旅行的舒克(北京),MGenderMale,北京,,[],,[],0,0,,,
1,346,23,乐乐(北京),MGenderMale,北京,"Greece', 'Australia', 'Germany', 'Russia'","['2018.07', '2018.04', '2018.04', '2018.04']",香港,['2018.03'],4,1,,,
0,3,0,alliswell(北京),MGenderMale,北京,,[],,[],0,0,,,
1,49,14,PUPUPU_555(北京),MGenderMale,北京,,[],"香港, 澳门","['2014.12', '2014.12']",0,2,,,
0,36,2,甜甜顺顺的麻麻(北京),MGenderFemale,北京,,[],,[],0,0,,,
4,346,248,啃着猪蹄喝咖啡(北京),MGenderFemale,北京,Singapore',['2018.11'],"拉萨, 青岛, 广州, 天津, 保定, 香港, 九寨沟, 甘孜, 稻城, 腾冲, 银川, 日喀则, 湘西, 重庆, 阳朔, 三亚, 鼓浪屿, 高雄, 玉树","['2012.08', '2015.11', '2013.05', '2014.01', '2014.01', '2015.05', '2012.04', '2015.02', '2015.02', '2018.11', '2015.07', '2015.02', '2014.01', '2015.01', '2013.06', '2015.04', '2015.01', '2016.04', '2012.07']",1,19,,,
